Ignore,Key,Message
Y,メッセージ,
,msg1,"Seiring berjalannya waktu,<br>nama dan reputasiku sebagai<br>penyihir menjadi terkenal."
,msg2-1,"Oleh karena itu,<br>ada banyak sekali percobaan<br>untuk membunuhku,<br>tapi aku tidak menyesal. "
,msg2-2,"Lagi pula,<br>aku hidup agar keluargaku<br>juga bisa hidup."
,msg3,"Suatu hari,<br>setelah menghabiskan<br>beberapa hari untuk<br>menyelesaikan<br>pekerjaan besar,<br>aku akhirnya pulang."
,msg4-1,"Pekerjaan itu berbahaya,<br>tetapi menghasilkan<br>banyak uang. "
,msg4-2,Kami akan bisa menikmati<br>makanan hangat untuk<br>sementara waktu.<br>Semua orang<br>akan sangat senang.
,msg5,“Hai semuanya!<br>Aku pulang!”
,msg6-1,"Saat aku mendekati<br>teman-temanku,<br>mereka berkumpul<br>mengelilingiku. "
,msg6-2,Tapi...<br>ada yang tidak beres.
,msg7,“Ada apa?<br>...Nrgh...!”
,msg8-1,Rasa sakit yang tajam<br>menjalar ke punggungku. 
,msg8-2,"Aku menoleh dan<br>menemukan sebilah pisau<br>ditusukkan ke tubuhku,<br>dan seorang teman yang<br>memegang gagangnya."
