Ignore,Key,Message
Y,メッセージ,
,msg1,T-Tại sao?
,msg2-1,Tại sao vậy...?<br>Tôi không hiểu.<br>Tại sao...?<br>Tôi thậm chí còn chẳng<br>màng đến cơn đau. 
,msg2-2,Từ duy nhất tôi mãi tự hỏ<br>bản thân mình là “Tại sao?”
,msg3,Một trong những nụ cười<br>hồn nhiên đó đã trả lời tôi.
,msg4-1,"“Nếu ai đó ăn trái tim<br>của một phù thủy,<br>họ sẽ có được sức mạnh<br>của phù thủy đó,<br>đúng không nào? "
,msg4-2,"Thế thì, nếu tôi làm thế,<br>thủ lĩnh tiếp theo sẽ là tôi.”"
,msg5-1,...Cậu đang đùa tôi...<br>phải không?<br>Cậu thực sự tin<br>vào tin đồn đó sao? 
,msg5-2,Đó là lý do khiến<br>cậu muốn giết tôi sao? 
,msg5-3,Lý do... lý do ngu ngốc đó...?
,msg6,...Ha... Ha ha ha... 
,msg7,"Tôi tận tụy vì cha,<br>để rồi bị bán đi, rẻ mạt...<br>Bây giờ,<br>những người bạn mà tôi<br>hết lòng đối đãi lại sắp ăn<br>thịt tôi?! Ha!"
,msg8,Ah-ha ha ha ha!
,msg9-1,Ah-ha ha...<br>Phải rồi. 
,msg9-2,"Làm sao tôi có thể sai lầm<br>đến thế? Cuối cùng,<br>tất cả chúng ta đều là<br>những con thú bẩn thỉu,<br>tham lam những thứ rác rưởi. "
,msg9-3,"Việc chúng ta cắn xé nhau là lẽ<br>đương nhiên, phải vậy không?"
,msg10-1,"Tôi rút lưỡi dao ra khỏi lưng,<br>và chĩa nó về phía<br>những người bạn đang<br>sợ hãi của mình. "
,msg10-2,"Sau khi thì thầm, “Như vậy<br>mình mới có thể sống sót,” "
,msg10-3,khuôn mặt tôi nhếch<br>lên một nụ cười.
