Ignore,Key,Message
Y,メッセージ,
,msg1,"De l'autre côté du trou<br>s'étendait un monde étrange,<br>et Papa s'y trouvait."
,msg2-1,"Alors que je l'appelais « Papa »,<br>l'homme sembla étonné. "
,msg2-2,"Pourquoi cela ?<br>Les hommes étaient bien Papa,<br>et les femmes Maman, non ?"
,msg3-1,"À partir de ce jour-là,<br>je parlai à Papa tous les jours. "
,msg3-2,"Tiens ?<br>Aujourd'hui,<br>Papa est accompagné<br>d'une maman à épines."
,msg4,"« Dis, qui sont tes parents... ? »"
,msg5,"Mes parents sont<br>Père et Mère,<br>pourquoi cette question ?"
,msg6-1,"Ah, tant qu'on y est,<br>je vais vous<br>présenter Nounours ! "
,msg6-2,C'est Mère qui me l'a donné !<br>C'est mon trésor à moi !
,msg7-1,"Alors que je lui<br>montrais ma peluche,<br>Papa sourit et me dit que<br>c'était un beau trésor. "
,msg7-2,N'est-ce pas ? Hihi.
,msg8,"Soudain, la maman aux épines<br>s'en alla en marmonnant<br>quelque chose."
,msg9,"Que lui était-il arrivée ?<br>Dans tous les cas,<br>elle avait l'air heureuse."
