Ignore,Key,Message,,,,,,,,,,,
Y,メッセージ,,,,,,,,,,,,
,msg1-1,眼前的人能夠感到悲傷。,,,,,,,,,,,
,msg1-2,罪惡感在隱隱作痛。<br>我像是懺悔一樣，向她傾吐了<br>自己的心聲。,,,,,,,,,,,
,msg2,「奶奶去世了，<br>　可我卻流不出眼淚……<br>　我是個無情的孫女。」,,,,,,,,,,,
,msg3,「可是，妳看起來就快哭了。」,,,,,,,,,,,
,msg4,「我看起來……就快哭了？」,,,,,,,,,,,
,msg5,她的話彷彿打開了閘門，<br>記憶如潮水般湧出。,,,,,,,,,,,
,msg6-1,生活在森林裡的日子。<br>布滿皺紋的溫暖雙手。,,,,,,,,,,,
,msg6-2,還有曾經見過的，<br>奶奶那張泫然欲泣的臉龐。,,,,,,,,,,,
,msg7-1,頓時，溫熱的液體<br>從我的臉頰滾落——,,,,,,,,,,,
,msg7-2,這是……眼淚？,,,,,,,,,,,
,msg8,……啊，我就知道奶奶<br>是我最親的人。,,,,,,,,,,,
,msg9,我不相信奶奶已經<br>離我而去了。<br>我還想和奶奶一起生活。,,,,,,,,,,,
,msg10,我不要和奶奶分別。<br>我真的，好難過……,,,,,,,,,,,
