Ignore,Key,Message
Y,メッセージ,
,msg1,Maybe I’ll say I hid my existence<br>as a witch from the troupe...
,msg2,Or maybe I’ll say I was<br>just passing by...
,msg3,I tried to think of ways for only<br>me to be captured by the Knights...
,msg4,"...But, I didn’t need to<br>use any of them."
,msg5,Because no one called the Knights.
,msg6,"Instead, people erupted<br>with cheers of gratitude.<br>They were happy.<br>They were smiling."
,msg7,"...Ahh, I see."
,msg8,I love the thundering<br>applause and happy<br>faces of the audience<br>more than anything<br>in the whole world.
,msg9,With this power of mine...<br>maybe I’ll be able to<br>bring that happiness<br>back to them.
,msg10,...That’s when I decided—<br>to go on an adventure.
