Ignore,Key,Message,,,,,,,
Y,メッセージ,,,,,,,,
,msg1,"‘다가오지 마, 이 마녀!’",,,,,,,
,msg2,아아... 이걸로 몇 번째인 걸까요.,,,,,,,
,msg3-1,"마녀사냥이 점점 거세지자<br>마녀를 향한 경계심도 강해져서,",,,,,,,
,msg3-2,치료를 방해하거나<br>치료 자체를 거부하는 일이<br>빈번해졌습니다.,,,,,,,
,msg4,각오는 하고 있었습니다만...,,,,,,,
,msg5,읏... 포기해선 안 돼!,,,,,,,
,msg6,"치료사가 포기하면 치료는<br>누가 하겠어, 정신 차려!",,,,,,,
,msg7,"그래, 마녀란 걸<br>모르게 한다면...?<br>마법을 쓰지 않아도<br>치료는 가능하니까요.",,,,,,,
,msg8,그렇게 저는<br>마법을 쓰지 않고<br>치료하기로 했습니다.,,,,,,,
,msg9,좋은 일을 하려는 건데<br>어째서 숨겨야 하는 걸까...,,,,,,,
,msg10-1,몇 번이나 머리에<br>떠오르는 잡념들을,,,,,,,
,msg10-2,"애써 지워가며, 저는<br>치료에만 집중했습니다.",,,,,,,
,msg11,"마법을 쓴다면 더 빨리<br>나았을지도 모르지만,<br>어쩔 수 없어요.<br>마녀인 걸 들키면...",,,,,,,
