Ignore,Key,Message
Y,メッセージ,
,msg1,"Eu sempre andei sozinha<br>quando era pirralha,<br>já que fui abandonada<br>no depósito de lixo."
,msg2-1,"Nascer num mundo podre destes<br>é muita falta de azar, mesmo... "
,msg2-2,Não ia demorar pra eu morrer<br>que nem um bicho por aí e<br>virar lixo de verdade.
,msg2-3,"Vai dizer, não é bem assim a vida<br>dos pivetes de rua que nem eu?"
,msg3-1,Eu já tinha largado mão<br>de tudo fazia tempo...<br>Até que um dia aquela pessoa<br>apareceu na minha frente —
,msg3-2,a tia Valeriede.
,msg4,Ela nem pensou duas<br>vezes antes de me recolher<br>da pilha de lixo orgânico<br>onde me encontrou e me<br>levar pro orfanato dela.
,msg5,Depois disso eu<br>comecei a morar lá.<br>Com a tia Val e o<br>resto da pirralhada.
,msg6-1,No início eu fiquei meio perdida.<br>Era tudo novidade pra mim:
,msg6-2,"ter um lar pra voltar,<br>comida quentinha,"
,msg6-3,alguém pra esperar por mim... 
,msg7,Eu sempre tinha achado que<br>esse tipo de coisa fazia<br>parte de um mundo muito<br>distante do meu.
