Ignore,Key,Message
Y,メッセージ,
,msg1-1,"Mientras el pánico se <br>apoderaba de todos, "
,msg1-2,"de la nada, mi mamá <br>empezó a cantar como <br>si estuviera poseída. "
,msg1-3,Pero... ¿qué es esto?
,msg2-1,Mi cabeza palpitaba de dolor... 
,msg2-2,"No debería haber sido <br>capaz de oír su voz, "
,msg2-3,"y sin embargo, su canción <br>penetró directamente en <br>mi cerebro."
,msg3-1,¿Es la canción de una <br>verdadera dama cantante? 
,msg3-2,No... 
,msg3-3,Las canciones de mamá <br>eran más hermosas... <br>¡Con más compasión!
,msg4-1,"Entonces, algunas chicas <br>empezaron a cantar, "
,msg4-2,como inspiradas por <br>la canción de mamá. 
,msg4-3,"Todas eran brujas, y esta <br>canción era su maldición..."
,msg5-1,"Cuando el canto de las brujas <br>resonó por todo el teatro, "
,msg5-2,el suelo respondió abriéndose <br>de par en par.
,msg6-1,Me abrí paso entre las oleadas <br>de personas que intentaban <br>escapar gritando con <br>desesperación: 
,msg6-2,
,msg6-3,"""¡Mamá, detén esta locura!"""
