Ignore,Key,Message
Y,メッセージ,
,msg1-1,"Aku juga gugup saat pertama <br>kali aku masuk ke air,"
,msg1-2,tapi aku belajar bahwa <br>tidak ada yang <br>perlu ditakutkan.
,msg2,"Bahkan Cerberus sedang <br>bersenang-senang di sana, <br>melompat dan bermain air..."
,msg3,"Tapi, semua orang di sini lebih <br>kecil dan lebih muda dariku."
,msg4-1,"Sebagai seseorang yang <br>dipercaya oleh sang <br>Duke untuk bertanggung <br>jawab atas semua orang, "
,msg4-2,aku harus melakukan <br>sesuatu untuk mereka.
,msg5,Itu dia. Aku akan mulai <br>membantu mereka <br>terbiasa dengan air.
,msg6-1,Obat terbaik untuk <br>menghilangkan rasa <br>takut adalah bermain. 
,msg6-2,"Memikirkan hal itu, <br>aku membawa <br>Moddey ke area <br>air di mana semua <br>orang bermain..."
,msg7,"""T-Tidak, pergi dariku! <br>Apa pun selain air... Apa pun!"""
,msg8-1,Moddey kemudian <br>berlari secepat kakinya <br>bisa membawanya. 
,msg8-2,Kenapa dia seperti itu...?
