Ignore,Key,Message
Y,メッセージ,
,msg1-1,"I’ve been a <ct=3000>witch</ct> for as long <br>as I could remember,"
,msg1-2,living with Granny on a mountain.
,msg2-1,"There was a small village <br>located down on the foothill,"
,msg2-2,but everyone was so frightened <br>of me that they chased us out.
,msg3-1,"I try to help Granny out, <br>but... I’m just no use..."
,msg3-2,"I go down to the village to sell <br>her flowers, but the villagers <br>just stay away from me. "
,msg3-3,“Get lost!” they yell. <br>“A witch’s flowers? <br>How disgusting!”
,msg4-1,"Granny’s always telling me that <br>I’ll get through to them eventually,"
,msg4-2,but I’m only ever able to sell flowers <br>to the occasional traveler... 
,msg4-3,"Today, just like most days, <br>I couldn’t sell a single one."
,msg5-1,"They’re all so pretty, too..."
,msg5-2,Is everything really my fault?
