Ignore,Key,Message
Y,メッセージ,
,msg1,Master said the reason <br>our powers go berserk is <br>because we lose control <br>of our feelings.
,msg2-1,The powers of a witch <br>come from within.
,msg2-2,Terror and despair caused <br>Cerberus to transform into <br>a <ct=3000>Witch of Qlipha</ct>.
,msg3-1,It’s all my fault.
,msg3-2,If only I had <br>courage back then... <br>If only I’d been <br>able to protect her...!
,msg4-1,That’s why I decided—
,msg4-2,"no matter what happens, <br>I won’t cry anymore."
,msg4-3,I’ll get stronger so she <br>won’t ever get sad again!
,msg5-1,"I feel determination <br>burning in my heart, <br>and I look up towards <br>the mystical mountain."
,msg5-2,She’s there...waiting inside <br>the violent lightning storm.
,msg5-3,
,msg6-1,Wait for me.
,msg6-2,Big Sis is <br>gonna save you.
