Ignore,Key,Message
Y,メッセージ,
,msg1,"Моя молитва как будто бы<br>достигла Небес, и сам Бог...<br>ответил мне."
,msg2,"Я обрела магическую силу, "
,msg3,превосходящую силу<br>этих проклятых существ. 
,msg4,Силу ведьмы.
,msg5,"Я подняла с земли<br>копье и ринулась в бой,<br>отчаянно отбиваясь от чудовищ."
,msg6,"Их страшные клыки и острые<br>когти пугали меня до смерти,<br>но я не теряла надежды."
,msg7,"Я держалась стойко.<br>И хотя я едва не погибла<br>от полученных ран,<br>мне каким-то образом<br>удалось прогнать их."
,msg8,Но... 
,msg9,"""Ведьма!<br>Здесь ведьма!"" "
,msg10,"""Ч-Чудовище!<br>Не смей подходить ближе!"""
,msg11,"Я спасла жителей<br>деревни от чудовищ, "
,msg12,но они отблагодарили<br>меня лишь дождем камней.
