Ignore,Key,Message
Y,メッセージ,
,msg1-1,"Das Rot, das aus meinen <br>liebsten Puppen quillt, <br>das ist ein fabelhaftes Rot. "
,msg1-2,"Genau das Rot, das mich so <br>verrückt gemacht hat."
,msg2,Das hat mir Emma so gesagt.
,msg3,"Also jagte ich meinen <br>liebsten Puppen hinterher, <br>dass sie mir das schöne <br>Rot zeigen konnten."
,msg4-1,Aber ... <br>das ist schon komisch. 
,msg4-2,"An einem Tag spielen <br>sie noch mit mir, und <br>am nächsten Morgen ..."
,msg5-1,... Sind sie auf einmal <br>nicht mehr da. 
,msg5-2,"Findest du das nicht <br>auch komisch, Emma? <br>Wo gehen sie alle nur hin?"
,msg6,"Aber das macht auch nichts. <br>Ich bin sicher, irgendwann <br>sehen wir uns wieder. <br>Darum ..."
,msg7,„Suchen wir erst mal <br>eine neue Puppe.“
