Ignore,Key,Message
Y,メッセージ,
,msg1,Поместье герцога...<br>там я нашла ее. 
,msg2,Младшую сестру...<br>последней убитой<br>мной ведьмы. 
,msg3-1,"Не знаю,<br>когда она пришла сюда. "
,msg3-2,"Но, похоже,<br>она сказала всем,<br>что ищет меня. "
,msg4-1,"Если эта девочка так хочет,<br>я с радостью отдам свою<br>жизнь в качестве расплаты. "
,msg4-2,Но пока...<br>Я должна защитить ее. 
,msg4-3,"Я буду делать это,<br>пока она не решит<br>осуществить свою месть."
,msg5-1,Я знаю точно...<br>Бога нет. Но... 
,msg5-2,"если там на небе есть кто-то,<br>кто смотрит на нас...<br>Прошу, защити ее. "
,msg5-3,"По крайней мере,<br>позволь мне,<br>не сумевшей спасти<br>свою собственную сестру...<br>спасти эту девочку. "
,msg6-1,"Я знаю,<br>что это эгоизм,<br>и я уверена... "
,msg6-2,"она не хочет защиты от такой, "
,msg6-3,как я... И все же... 
,msg7,Я молю тебя... 
