Ignore,Key,Message
Y,メッセージ,
,msg1,"Ein Schwert ist <br>nicht das einzige, <br>was einen Menschen <br>zu töten vermag. <br>Ein einziger Blick kann <br>genauso tödlich enden."
,msg2-1,"Hämisches Geflüster, <br>verächtliche Blicke ... "
,msg2-2,"Mehr braucht es nicht, <br>um jemanden zu töten."
,msg3-1,"Ein Herz, <br>das sich daran gewöhnt hat, <br>Schmerzen zuzufügen <br>und zu spüren, "
,msg3-2,"vergisst irgendwann, <br>was Schmerzen überhaupt sind."
,msg4,"Deshalb müsst ihr eure eigenen <br>Augen und Ohren benutzen, <br>bevor ihr jemand <br>anderen verurteilt."
,msg5,"Das ist es, was es bedeutet, <br>zu lernen und zu wachsen."
,msg6-1,"Ihr müsst Fragen stellen, "
,msg6-2,"und dann nach <br>Wegen suchen, <br>diese zu lösen."
,msg7,"Es gibt keine Fragen, <br>die nicht gelöst werden können. <br>Die Antworten, die ihr sucht, <br>sind sicherlich nur versteckt."
,msg8,"Während ich meinen <br>Schülern dies beibrachte, <br>richtete ich diese Worte <br>auch an mich selbst."
,msg9-1,Ganz recht. 
,msg9-2,"Die Antwort, <br>wie man diese Ketten sprengt, <br>ist ebenfalls irgendwo versteckt."
,msg10-1,"Es war zu dieser Zeit, <br>als ein gewisses Gerücht <br>sich zu verbreiten begann. "
,msg10-2,"Das Gerücht über eine Frau, <br>die Kinder zu sich lockt, <br>um sie dann in <br>Hexen zu verwandeln."
