Ignore,Key,Message
Y,メッセージ,
,msg1,<i>그만... 제발 좀 멈춰...!</i>
,msg2-1,거리가 무너져 간다.
,msg2-2,"가족도, 친구도...<br>하나둘 모래가 되어 간다."
,msg3-1,"<i>안 돼, 이러지 마...<br>잠깐, 사람들이 전부...!</i>"
,msg3-2,<i>아아... 아아아아악...!!</i>
,msg4,하아...<br>귀신이 되어서도 꿈은 꾸는구나.
,msg5-1,"내가 몰살의 마녀가 되었던 그날,"
,msg5-2,나는 사람들이 모래가 되는 모습을<br>눈앞에서 보고 있었다.
,msg5-3,그것 말고는 할 수 있는 게 없었다.
,msg6-1,그 죄책감이 여태껏 남아 있다.<br>무슨 짓을 해도 사라지지 않는다.
,msg6-2,"그리고, 지금 또다시..."
,msg7-1,...위베르가 쓰러졌다.
,msg7-2,나로 인해 죄책감에 사로잡혀서<br>그림을 완성하지도 못한 채로<br>생을 마감하려 하고 있었다.
,msg8,그런데 나는 지금<br>아무것도 할 수 없다.
,msg9-1,또... 보고만 있을 셈이야...
,msg9-2,"나 때문에 인생이 망가진 소녀가<br>또다시 눈앞에서 죽어 가는데,"
,msg9-3,어째서...!
,msg10,"제발... 누가 좀 도와줘...<br>저 아이를... 나를, 도와줘..."
,msg11-1,"바로 그때,<br>피아가 위베르에게 다가갔다."
,msg11-2,내 꽃을 손에 들고서...
