Ignore,Key,Message
Y,メッセージ,
,msg1,"Eu sinto uma força imensa adiante. <br>Deve ser a [Bruxa de Qlipha], responsável por liberar a maldição."
,msg2,"Mas vejam aquela cidade. <br>Assolada pela maldição como ela está, nem podemos nos aproximar. "
,msg3,Deste jeito a nação inteira vai ruir. <br>Alguém precisa impedi-la antes que isso aconteça.    
,msg4,"Então isso é obra da ""Bruxa de Qlipha""...?<br>Como ela pode ter uma força tão assustadora...?"
,msg5,Esperem. <br>Talvez agora já possamos salvar aquela cidade.
,msg6,... Hein?!
,msg7,O cajado tem o poder para restaurar as terras amaldiçoadas. <br>Talvez possa restaurar também cidades destruídas pela maldição.
,msg8,"É claro que não será algo simples. <br>Mas alguém como você, quem sabe..."
,msg9,"Por favor, ajude todos com a sua força!"
,name1,Iris
,name2,Illya
,name3,Rosalie
