Ignore,Key,Message
Y,メッセージ,
,msg1,Je perçois une grande puissance au-delà de ce point.<br>Il doit s'agir d'une des sorcières de Qlipha à l'origine de la malédiction.
,msg2,Mais regardez ce village.<br>La malédiction nous empêche de nous en approcher. 
,msg3,Le pays tout entier court à sa perte.<br>Quelqu'un doit absolument empêcher ça.    
,msg4,La malédiction des sorcières de Qlipha...<br>Quel pouvoir épouvantable...
,msg5,Une minute.<br>On peut peut-être venir en aide à ce village.
,msg6,Ah bon ?!
,msg7,Le bâton peut rendre aux terres maudites leur état d'origine.<br>Alors pourquoi pas aux villages aussi ?
,msg8,"Bien sûr, ce ne sera pas chose facile.<br>Mais peut-être que pour toi..."
,msg9,"Je t'en prie, utilise ton pouvoir pour les sauver !"
,name1,Iris
,name2,Illya
,name3,Rosalie
