Ignore,Key,Message
Y,メッセージ,
,msg1-1,Tiba-tiba Penyidik muncul.
,msg1-2,Mereka telah mengetahui bahwa <br>aku adalah penyihir.
,msg2-1,"Ketika aku ketakutan, <br>kakakku berpaling ke arahku <br>dan memberiku senyuman aneh."
,msg2-2,
,msg3,"""Aku bukan penyihir, <br>jadi mereka tidak akan <br>menangkapku. <br>Sol, kau pergi dulu, <br>nanti aku akan menyusul."""
,msg4-1,Aku percaya dengan <br>kata-kata itu.
,msg4-2,Bagaimana tidak? <br>Aku sangat ketakutan...
,msg4-3,Penyidik terkenal dengan metode <br>penyiksaannya yang kejam.
,msg4-4,"Tak ada seseorang yang sudah <br>tertangkap, bisa kembali dari sana."
,msg5-1,Aku melarikan diri dari desa <br>dan menunggu kakakku.
,msg5-2,"Tapi seberapa lama pun aku <br>menunggunya, dia tidak datang."
,msg6-1,Di mana dia...? <br>Apa yang terjadi...?
,msg6-2,"Kekhawatiran mulai masuk <br>ke dalam diriku, dan aku <br>ingat senyuman aneh itu."
,msg6-3,
,msg7-1,Ya benar...!
,msg7-2,Kenapa aku tidak sadar...?!
,msg7-3,Kakakku hanya memberiku <br>senyuman seperti itu...<br>ketika dia mengucapkan <br>kebohongannya...
,msg8,"Kekhawatiranku hanya muncul <br>dari hal itu, dan setelah itu, <br>aku mendengar berita."
,msg9,Penyihir dengan nama <br>Lunalynn telah tertangkap.
