Ignore,Key,Message
Y,メッセージ,
,msg1-1,"언니,"
,msg1-2,나 언니에게는<br>많이 고마워하고 있어.
,msg1-3,이 인형만이 아니야.
,msg1-4,많은...
,msg1-5,정말 많은 걸<br>받았으니까.
,msg2-1,"그런데 이대로 헤어진다니,<br>그런 슬픈 말 하지 마."
,msg2-2,이제 혼자 있는 집엔<br>돌아가고 싶지 않아.
,msg3-1,폭주하는 마녀에게<br>목소리는 전해지지 않는다.
,msg3-2,하지만 나는 계속 말을 걸었다.
,msg4-1,"왜냐하면, 언니는 다정하니까."
,msg4-2,내가 울고 있을 때는<br>반드시 곁에 와줬으니까.
,msg5-1,그러니까...
,msg5-2,"돌아와 줘, 언니!"
,msg6-1,"그 순간,"
,msg6-2,내 목소리가<br>오빠의 지팡이를 통해
,msg6-3,연결되는 걸 느끼면서...
,msg7,‘솔? 네가 불러줬어?’
,msg8,따스한 빛이<br>얼음 나라를 녹이기 시작한다.
,msg9,"어서 와, 언니."
