Ignore,Key,Message
Y,メッセージ,
,msg1-1,"Eu queria ir até onde<br>a minha irmã estava,"
,msg1-2,mas uma montanha de<br>gelo colossal não deixava<br>que eu me aproximasse.
,msg1-3,Foi nesse momento<br>que eu conheci um moço<br>que chamam de suserano.
,msg2-1,"Chegando até o alto<br>da montanha com a força<br>de um cajado que<br>dissolve a maldição,"
,msg2-2,a gente encontrou minha
,msg2-3,irmã transformada<br>em uma Bruxa de Qlipha.
,msg3,"Ela costumava<br>ser tão gentil,<br>como era possível...?"
,msg4-1,Nesse momento<br>as memórias<br>da minha irmã foram<br>transmitidas até mim<br>através do gelo.
,msg4-2,"A tortura dos inquisidores<br>era ainda mais horrível<br>do que diziam os boatos,"
,msg4-3,e acabou despedaçando<br>o espírito dela.
,msg4-4,Isso gerou uma maldição<br>capaz de congelar tudo que existe.
,msg5-1,Como podiam fazer uma<br>coisa tão abominável...?
,msg5-2,"Espere por mim, Luna.<br>Eu vou socorrer você<br>com certeza."
