Ignore,Key,Message
Y,メッセージ,
,msg1-1,"""Mach dir keine Sorgen, <br>du schaffst das schon"", "
,msg1-2,"sagte meine Mutter lächelnd, <br>als ich in die Kutsche stieg, <br>die mich in die <br>Stadt bringen sollte.  "
,msg1-3,"Ich sah noch, <br>wie sie und meine <br>Brüder mir hinterherwinkten."
,msg2-1,In einem armen <br>Bauerndorf mit sehr vielen <br>Kindern aufzuwachsen ... 
,msg2-2,ist überhaupt nicht leicht.  
,msg2-3,"Schon im Kindesalter <br>hatte ich verstanden, <br>wie sehr sich meine <br>Eltern um uns bemühten."
,msg3-1,"Deshalb habe ich, <br>so wie es bei uns <br>der Brauch ist, <br>mein Zuhause mit <br>12 Jahren verlasse. "
,msg3-2,Genau wie meine <br>Schwestern vor mir.
,msg4-1,"Dort wo viele Leute wohnen, <br>muss es auch viel Arbeit geben. "
,msg4-2,Machen wir uns nichts vor ...  <br>Ein wenig Angst <br>hatte ich schon dabei.
,msg5-1,Gleichzeitig spürte <br>ich aber auch die <br>Vorfreude in meiner Brust ... 
,msg5-2,immerhin erwartete <br>mich ein ganz neues 
,msg5-3,Leben in einer <br>unbekannten Stadt.
