Ignore,Key,Message
Y,メッセージ,
,msg1-1,"“Florence, cậu bị sao vậy?” "
,msg1-2,Tôi yếu ớt gọi tên cô ấy...
,msg2-1,"Nhưng,<br>tôi chỉ bắt gặp ánh mắt<br>lạnh lùng của cô ấy... "
,msg2-2,"Trong mắt cô ấy,<br>tôi chẳng khác gì một con quái vật."
,msg3-1,“Đồ phù thủy bẩn thỉu!” 
,msg3-2,cô ấy nói và giơ kiếm về phía tôi.
,msg4-1,Florence—c-cái gì...? 
,msg4-2,“Bẩn thỉu...?” 
,msg4-3,Không... 
,msg4-4,Cậu sẽ không bao giờ nói ra<br>điều gì khủng khiếp như vậy!
,msg5-1,Cô ấy là người bạn<br>thân nhất của tôi... 
,msg5-2,"Cho dù có chuyện gì xảy ra,<br>tôi vẫn sẽ tin cô ấy. "
,msg5-3,"Đó là những gì chúng tôi đã thề,<br>phải không?"
,msg6-1,"Tôi đã tin tưởng cô ấy<br>bằng cả trái tim mình, "
,msg6-2,vì vậy tôi đã dang rộng<br>vòng tay khi cô ấy đến gần tôi.
,msg6-3,Nhưng...
,msg6-4,"không hề do dự,<br>cô ấy rút kiếm..."
,msg6-5,và chém tôi.
,msg7-1,Đau quá... 
,msg7-2,Vết thương của<br>tôi bỏng rát vì đau... 
,msg7-3,Nhưng điều<br>đau đớn nhất... 
,msg7-4,là cô ấy đã làm<br>điều này với tôi.
,msg8-1,"""Đợi đã... Đừng đi...!” "
,msg8-2,"Tôi đưa tay về phía cô<br>ấy khi cô ấy bước đi, "
,msg8-3,nhưng cô ấy không<br>một lần nhìn lại. 
