Ignore,Key,Message
Y,メッセージ,
,msg1-1,Des caractéristiques de sorcière <br>ont commencé à apparaître. 
,msg1-2,Les sorcières sont des êtres <br>maléfiques qui œuvrent à la <br>destruction du monde... 
,msg1-3,"Les épidémies, les catastrophes <br>et les malheurs sont tous <br>causés par des sorcières."
,msg2,"Par conséquent, <br>la simple présence d'une sorcière <br>rendrait les gens malades..."
,msg3,Mais pourquoi...
,msg4-1,"« Non, ce doit être <br>une énième épreuve. "
,msg4-2,Dieu ne conçoit aucune <br>épreuve qui ne peut <br>être surmontée.
,msg5-1,Alors je promets que j'y arriverai. 
,msg5-2,Montrez-moi seulement <br>le chemin. »
,msg6-1,"C'est alors que j'ai reçu <br>une lettre de la papesse, "
,msg6-2,telle une révélation divine.
,msg7-1,Elle mentionnait mon état actuel <br>et l'existence d'un remède.
,msg7-2,
,msg8-1,« Mes prières ont été entendues...
,msg8-2, Merci. »
,msg9-1,"Bien résolue à affronter cette épreuve, "
,msg9-2,je me suis dirigée vers le Saint pays où réside la papesse.
