Ignore,Key,Message
Y,メッセージ,
,msg1,"Жизнь - это череда выборов.<br>Решение<br>проблемы можно отложить,<br>но от нее нельзя бежать вечно."
,msg2,Поэтому после долгих<br>колебаний я сделала свой выбор.
,msg3,"Дрожащими руками я<br>открыла это письмо.<br>Моим глазам предстали строки,<br>написанные таким<br>знакомым мне почерком."
,msg4,"""Я так рада видеть тебя вновь.<br>Не хочешь встретиться<br>за чашечкой чая?<br>Моя сестра, конечно же,<br>тоже придет"". "
,msg5-1,"Я не смогла дочитать до конца,<br>потому что мои глаза<br>застилали слезы. "
,msg5-2,Я была так счастлива... 
,msg5-3,"и в то же время...<br>мне было неловко за то,<br>что ей пришлось сделать<br>первый шаг самой."
,msg6-1,Такими темпами все<br>может повториться. 
,msg6-2,"Я должна набраться мужества,<br>чтобы взглянуть ей в глаза... "
,msg6-3,и самой себе. 
,msg6-4,Я встречусь с ними - с моими<br>лучшими подругами.
