Ignore,Key,Message,,,,,,,,,,,
Y,メッセージ,,,,,,,,,,,,
,msg1,이 아이는 ‘기적의 아이’ 야.,,,,,,,,,,,
,msg2,"천사나 악마, 어느 한쪽의 힘을<br>가진 경우는 간혹 보긴 하지만,<br>둘 다 가진 아이는 처음이었어.",,,,,,,,,,,
,msg3-1,"서로 대립하는 두 가지 힘을 품어도<br>무너지지 않을 강한 영혼에,<br>그 두 가지 힘이 실제로 깃들다니...",,,,,,,,,,,
,msg3-2,이 얼마나 대단한 기적이야?,,,,,,,,,,,
,msg4,"...아냐,<br>이게 우연이라니 그럴 리 없어.",,,,,,,,,,,
,msg5-1,이건 본디 존재할 리 없는 기적.<br>누군가 의도해 놓은 거야.,,,,,,,,,,,
,msg5-2,세계의 구원과 멸망<br>그 어느 쪽도 가능하도록...,,,,,,,,,,,
,msg6,이 아이를 기다리고 있는 건<br>처절한 운명이야.<br>보통은 견뎌내지 못해.,,,,,,,,,,,
,msg7-1,"그렇지만,<br>만약 그럼에도 굴하지 않는다면...<br>꺾이지 않고 나아갈 수 있다면...",,,,,,,,,,,
,msg7-2,그 모습은 분명 누구보다도<br>아름답게 빛날 거야.,,,,,,,,,,,
,msg8,그 모습을 보고 싶어...!,,,,,,,,,,,
,msg9-1,"그리고, 나라면 이 아이...",,,,,,,,,,,
,msg9-2,일리아에게 그런 힘을 줄 수 있어!,,,,,,,,,,,
