Ignore,Key,Message
Y,メッセージ,
,msg1,圣、圣夜奇迹居然是<br>这种恋爱玄学……
,msg2-1,难怪罗莎莉师尊她们<br>一直笑咪咪地看着我。
,msg2-2,为什么大家都不把话说清楚啦～！
,msg3-1,可我已经答应老大<br>要让他看看什么是圣夜奇迹，
,msg3-2,而且碰头的时间也快到了，<br>怎么办～～！
,msg4-1,总之我还是来到了约好的<br>那棵大树下，不过……
,msg4-2,啊，老大已经到了。
,msg5-1,老大看见我之后挥了挥手。
,msg5-2,周围都是情侣，<br>老大这个笨蛋！
,msg5-3,这样我们岂不就像<br>一对情、情……
,msg6,“啊，老、老大，<br>　你、等很久了吗？”
,msg7-1,在我跑过去之后，<br>老大回答“我也刚到”……
,msg7-2,这个场面根本就是在<br>约、约约约……
,msg8,老大突然伸手指向天空。
,msg9,啊，下雪了。<br>好美……
,msg10-1,这么说起来，<br>洛基姐姐大人说过<br>下点雪会更有情调。
,msg10-2,情调……
,msg11-1,双双对对的恋人互相依偎，<br>四周充斥着甜蜜的气氛……
,msg11-2,现、现在正是……
,msg12,“老、老大！”
