Ignore,Key,Message
Y,メッセージ,
,msg1-1,腦袋疼得像要爆炸一樣。
,msg1-2,囊括所有知識的記憶<br>就像一片無邊無際的汪洋。
,msg1-3,當這片廣大的知識之海<br>灌入人類那顆小小的腦袋……
,msg2-1,唉，想也知道會爆炸……<br>虧我這麼拚死拚活地準備……<br>結果還是沒戲唱嗎……
,msg2-2,不過，反正我最後過得很快樂，<br>應該沒什麼遺憾了……
,msg3-1,……最好是啦。<br>我超遺憾的……
,msg3-2,我不想死……救命啊、
,msg3-3,救救我、瑟露莉亞……
,msg4,「學姊！」
,msg5,……！<br>瑟露莉亞來救我了……！
,msg6-1,「我要罰您逐一篩選十萬顆花粉，<br>　全手工作業，
,msg6-2,　您給我做好心理準備吧！」
,msg7,欸～不要這樣啦～
,msg8-1,我忍不住露出了本性，<br>就在那一瞬間，我的意識<br>從知識的海洋裡浮了上來。
,msg8-2,瑟露莉亞真有一套！<br>機會只有這一次了！
,msg9-1,世界的起源、天使與惡魔、
,msg9-2,二十二條路徑建構的<br>全新樹狀圖……
,msg10-1,只要掌握了這些知識<br>就能成為神……
,msg10-2,但我選擇全部放棄。
,msg11-1,世界的真理<br>像被拔掉水塞的水一樣流逝了。
,msg11-2,我睜開眼睛，<br>努力對強忍著眼淚的她<br>擠出一個微笑。
,msg12,「可以……改一萬顆就好嗎？」
,msg13,十萬顆太難了啦。
