Ignore,Key,Message,,,,,,,
Y,メッセージ,,,,,,,,
,msg1,"영주님께서는 내 손에<br>약을 발라주신 뒤,<br>붕대를 감아나갔다.",,,,,,,
,msg2,섬기는 분에게 이런 수고를...<br>검사의 수치다...,,,,,,,
,msg3,"‘시즈가 요즘 노력하는 건 알지만,<br> 이러면 나도 보고만 있을 수 없지.’",,,,,,,
,msg4-1,영주님은 참으로 상냥하시다.,,,,,,,
,msg4-2,지금의 나는 이런 대우를<br>받을 자격 따위 없는데.,,,,,,,
,msg5,<i>제 검 실력이 아니라면<br>이곳에 있을 가치도 없는걸요...</i>,,,,,,,
,msg6,"영주님의 손이 순간 멈추었다가,<br>다시 붕대를 감기 시작했다.",,,,,,,
,msg7-1,잠시 정적이 감돌고...,,,,,,,
,msg7-2,치료를 마친 영주님께서<br>입을 떼셨다.,,,,,,,
,msg8,‘저기 있는 작은 꽃이 보이니?’,,,,,,,
,msg9,"영주님의 시선을 따라가니,<br>눈 속에서 살짝 고개를 내민<br>하얀 꽃이 보였다.",,,,,,,
