Ignore,Key,Message
Y,メッセージ,
,msg1,...اللعنة اختفت تمامًا.
,msg2,"تشوهت الأرض بشكل يفوق الوصف، <br>وأصبحت قلعتنا في حالة من الخراب. <br>هناك، صديقتي الغالية تقف <br>بجانبي عندما ناديت عليها."
,msg3,”... أوفيليا.”
,msg4,"""عندما فقدتك...أصيب قلبي بحالة <br>من اليأس. ثم أدركت شيئًا حرّرني <br>من اليأس”."
,msg5,"""كيف تمكنت من<br> أن أصبح ملكة هذه الأرض..."
,msg6,وكيف تمكنت من الاستمرار <br>في القتال حتى أنقذتكِ...
,msg7,"كان كل ذلك لأنني أحببتك""."
,msg8,"”عزيزتي أوفيليا، اسمحي لي <br>أن أقدم طلبي مرة أخرى”."
,msg9,"”من اليوم فصاعدًا، لا أتمنى <br>شيئًا آخر سوى أن تبقى بجانبي. <br>إلى الأبد، حتى يفرقنا الموت”."
,msg10,
,msg11,تنهمر الدموع من عيون <br>أوفيليا وأنا أمسك بيديها.
,msg12,لم نعد بحاجة إلى أي <br>سلاسل لربط حياتنا معًاا.
,msg13,.“وقلت لها“
,msg14,“السيف ليس من <br>يتحكم في مصائرنا. <br>نحن أسياد أنفسنا”.
,msg15,
