Ignore,Key,Message
Y,メッセージ,
,msg1-1,นายคนที่สองของข้าตกเป็นเป้าหมาย... 
,msg1-2,เขาถูกจับตัวระหว่างศึก<br>การเลือกผู้สืบทอดตระกูล
,msg2-1,เขาได้รับการปกป้อ<br>งจากอัศวินหลายคน<br>รวมถึงตัวข้า<br>แต่ก็มีนักฆ่าแฝ<br>งตัวเข้ามาในหมู่พวกเรา…
,msg2-2,ทำให้ผู้คุ้มกันทุกคนก็ถูกฆ่าตาย
,msg3,ข้าเป็นเพียงคนเดียวที่เหลือรอด<br>ด้วยหน้าที่ที่ต้องปกป้องนายของตน<br>ข้าจึงยกอาวุธขึ้น
,msg4-1,ข้าจะต้องหยุดศัตรูให้ได้ 
,msg4-2,แม้จะต้องแลกกับชีวิตของตนเองก็ตาม<br>หากข้าสามารถทำตามจุดมุ่งหม<br>ายในการเป็นอัศวินของข้าได้<br>ข้าก็ยินดีก้าวเข้าสู่อ้อมแขนของความตาย...! 
,msg4-3,ตราบใดที่นายของข้าปลอยภัย…
,msg5-1,แต่ท้ายที่สุด<br>ครั้งนี้ข้าก็ยังไม่สามาร<br>ถปกป้องนายของตนได้ 
,msg5-2,กลับกัน<br>ข้ากลายเป็นคนที่ได้รับการปกป้อง<br>เพื่อแลกกับชีวิตของข้า<br>เขาหันคมดาบเข้าหาตัว…
,msg5-3,แล้วปลิดชีพตนเอง
,msg6-1,ทำไมล่ะ...<br>ทำไมถึงปกป้องข้า... 
,msg6-2,หน้าที่ของอัศวินคือ<br>การปกป้องนายของตน…
,msg6-3,แต่ข้าไม่เคยทำสำเร็จเลยสักครั้ง!
,msg7-1,ความจริงที่โหดร้ายก็คือ...<br>ทุกคนที่ใกล้ชิดข้า…
,msg7-2,ล้วนมีจุดจบเป็นความตาย
