Ignore,Key,Message
Y,メッセージ,
,msg1,Was waren das eben für Feinde?
,msg2,"Sie sahen Menschlich aus wie wir,<br>aber irgendwas war anders an ihnen ..."
,msg3,"Das waren Schtten des Herzens. Wenn ein Herz in Verzweiflung fällt,<br>übernehmen seine überlaufenden, negativen Gefühle und formen <br>daraus wilde Schatten. Wahrscheinlich ein weiterer Effekt dieses Fluchs ..."
,msg4,(Dabei habe ich noch nie etwas Böses getan ...<br>Nur weil ich eine Hexe bin ... <i>Warum denn</i>...?)
,msg5,Hä? Was war das für eine Stimme ...?
,msg6,"... Die Macht einer Hexe kommt aus dem Herzen. <br>Wer in Kontakt mit dem Fluch—sprich, Der Macht von Qlipha—kommt,<br>wird auch mit ihrem Herzen Kontakt aufnehmen."
,msg7,Die Hexe von Qlipha ist nicht weit von hier.<br>Die Macht des Stabes hat dir womöglich zur Sicht verholfen.
,name1,Iris
,name2,Illya
,name3,Rosalie
,name4,???
