Ignore,Key,Message
Y,メッセージ,
,msg1,ما الذي قاتلنا للتو بحق السماء؟
,msg2,"بدوا وكأنهم بشر مثلنا،<br>لكن هناك شيئًا مختلفًا بشأنهم..."
,msg3,"كانت تلك هي ظلال القلب. فحين يقع القلب في حالة من اليأس،<br>فإن المشاعر السلبية التي تتدفق تأخذ شكل ظلال عنيفة. <br> لا بد أن يكون هذا تأثيرًا آخر من تأثيرات اللعنة."
,msg4,(لم أرتكب أي شيء سيئ على الإطلاق... <br> وذلك لمجرد أنني ساحرة... <i>لماذا</i>...؟)
,msg5,هاه؟ من أين أتى هذا الصوت...؟
,msg6,...قوة الساحرة تنبع من قلبها. وعندما تتصل<br>باللعنة-أو قوة قليفا-<br>يمكنكِ أيضًا الاتصال بقلب تلك الساحرة.
,msg7,ساحرة قليفا ليست بعيدة للغاية عن هنا.<br>فربما ساعدتكِ قوة العصا في رؤية شيء ما.
,name1,آيرس
,name2,إيليا
,name3,روزالي
,name4,؟؟؟
