Ignore,Key,Message
Y,メッセージ,
,msg1,Chúng ta vừa chiến đấu với gì vậy?
,msg2,"Tuy trông giống con người như chúng ta,<br>nhưng họ lại có gì đó khang khác..."
,msg3,"Đó là những cái bóng của trái tim. Khi một trái tim rơi vào tuyệt vọng,<br>những cảm xúc tiêu cực sẽ tràn ra dưới dạng những bóng đen điên cuồng. <br>Chắc hẳn là một ảnh hưởng khác từ Lời Nguyền."
,msg4,(Mình chưa từng làm điều gì xấu xa... <br>Nhưng chỉ vì là một phù thủy... <i>Tại sao chứ</i>...?)
,msg5,Hả? Giọng nói đó từ đâu vậy...?
,msg6,...Sức mạnh của một phù thủy đến từ trái tim. <br>Chạm vào Lời Nguyền—hay sức mạnh của Qlipha—<br>cũng chính là chạm vào trái tim của phù thủy đó.
,msg7,Phù Thủy Qlipha không còn cách đây xa đâu.<br>Có lẽ sức mạnh từ Quyền Trượng đã giúp ngươi nhìn ra điều gì đó.
,name1,Iris
,name2,Ilya
,name3,Rosalie
,name4,???
