Ignore,Key,Message
Y,メッセージ,
,msg1,Apa yang barusan kita lawan?
,msg2,"Mereka terlihat mirip manusia seperti kita, <br>tapi ada sesuatu yang berbeda dari mereka..."
,msg3,"Itu adalah bayangan di hati. ketika hati jatuh ke dalam keputusasaan, <br>emosi negatif mengalir dan membentuk bayangan yang kejam. <br>sepertinya itu efek lain dari kutukan."
,msg4,(Aku tidak pernah melakukan hal buruk... <br>Tapi hanya karena aku penyihir...<i>Kenapa</i>...?)
,msg5,Hah? dari mana suara itu muncul...?
,msg6,"...Kekuatan penyihir datang dari hatinya. ketika kau membuat <br>kontrak dengan Kutukan—atau, kekuatan Qlipha—<br>kau juga akan membuat kontrak dengan hati penyihir."
,msg7,Penyihir Qlipha tidak jauh dari sini.<br>Mungkin kekuatan tongkat bisa membantumu melihat sesuatu.
,name1,Iris
,name2,Illya
,name3,Rosalie
,name4,???
