Ignore,Key,Message
Y,メッセージ,
,msg1,ご清聴まいどありー。<br>アタシ、演技上手いっしょ？
,msg2-1,ウサギはどうなったのかって？
,msg2-2,さぁ、どうなったんだろうね。
,msg3,どう？<br>アタシが諦めなよって言う理由、<br>分かった？
,msg4,分かったけど諦めない？<br>この世界がどうなるか<br>一緒に見届けてほしい！？
,msg5,何それ。<br>ウサギが居たら絶対呆れてる。<br>領主ちゃんって本当頑固だなぁ。
,msg6-1,……でも、<br>その頑固さに敬意を表して、
,msg6-2,ウサギの代わりに<br>アタシが見届けてあげる。<br>この世界の行く末を。
,msg7-1,あ、でも勘違いしないでね？
,msg7-2,諦めなよって<br>アタシは言い続けるから。
,msg8,……うん。<br>改めてよろしくね。<br>領主ちゃん。
,msg9-1,ああ。<br>強い決意を秘めた目。<br>彼と同じだ。
,msg9-2,キミは、<br>本当に救ってしまうかもね。
,msg10,この世界が平和になった時、<br>アタシは素直に喜べるのかな？
,msg11,それとも羨ましくて<br>醜く嫉妬するのかな？<br>自分でもわかんないや。
,msg12,でももし、<br>キミが全てに失望して、<br>諦めようとする時が来たら。
,msg13-1,アタシだけは肯定してあげる。
,msg13-2,キミは、よくやったって──
