Ignore,Key,Message
Y,メッセージ,
,msg1-1,"Ngay bây giờ, "
,msg1-2,tôi đang nhảy bên cạnh<br>anh ấy để cứu lấy thế giới.
,msg2-1,Vì tôi biết rằng có<br>nhiều người trên 
,msg2-2,lục địa này cần<br>điệu nhảy của tôi.
,msg3-1,"Tất nhiên, điều đó "
,msg3-2,không có nghĩa là tôi đã<br>từ bỏ ước mơ của mình.
,msg4-1,"Khi mọi chuyện lắng xuống, "
,msg4-2,tôi sẽ về thăm quê cha của<br>mình ở miền Tây xa xôi.
,msg5,"Tuy nhiên,<br>trước khi tôi rời đi,<br>tôi cần tìm cô gái mèo đó."
,msg6,Vẫn còn rất nhiều điều<br>mà tôi chưa dạy cho cô ấy.
