Ignore,Key,Message
Y,メッセージ,
,msg1,"Мисс Розали, я так рада, что ты в порядке."
,msg2,"Да, мое спасение было еще той задачкой.<br>Кто бы мог подумать, что Церковь Лонгинуса доберется досюда..."
,msg3,"Мало того, это Проклятие вдруг просто исчезло...<br>А, вот оно что.<br>Значит, Посох нашел себе нового Преемника."
,msg4,Ты знаешь об этом посохе?
,msg5,"Немного, но это было так давно..."
,msg6,"...! Чудовища?! В воздухе пахнет их жаждой крови...<br>они приближаются!<br>Что, если их привлекает сила Посоха?.."
,msg7,"Не бойтесь. Встречайте врага с холодным разумом,<br>и ни одно проклятое чудовище не сможет вас победить."
,name1,Айрис
,name2,Иллия
,name3,Розали
