Ignore,Key,Message
Y,メッセージ,
,msg1,"Dame Rosalie, vous êtes saine et sauve."
,msg2,Hm. Merci d'avoir veillé sur moi. Je n'aurais pas cru<br>que Longinus viendrait jusqu'ici...
,msg3,"Moi qui pensais que la malédiction avait été levée d'un coup...<br>Je vois. C'est donc toi, sa nouvelle détentrice."
,msg4,Tu connais ce bâton ?
,msg5,On peut dire ça. Il faut dire que ça remonte...
,msg6,Les monstres se rassemblent !<br>Est-ce qu'ils réagissent au pouvoir du bâton... ?
,msg7,Inutile de paniquer. Les bêtes maudites ne sont pas une menace<br>à condition de garder la tête froide. 
,name1,Iris
,name2,Illya
,name3,Rosalie
